Mainfile,Formula,Entry_id
AminoAcids/hisD/Dipeptide/Ba/conf_0005/FHIaims.out,BaC9H14N4O2,-DuOO2jWMLnbyuM3IeXwOnCNppan
AminoAcids/tyr/Dipeptide/Ba/conf_0008/FHIaims.out,BaC12H16N2O3,-DvrRXi_bs30qwfa1tQg285IUru3
AminoAcids/arg/Dipeptide/Mg/conf_0147/FHIaims.out,C9H19MgN5O2,-E4smRaBMyE7pdYFxZghZ4xSWnTE
AminoAcids/argH/Dipeptide/Ca/conf_0098/FHIaims.out,C9CaH20N5O2,-EU-h9np5QN98BizKl1xb9xY7hbA
AminoAcids/lys/Dipeptide/bare/conf_0142/FHIaims.out,C9H19N3O2,-EpTOKWKuDZVkMkBQVBGIX26COSb
AminoAcids/lys/Dipeptide/bare/conf_1581/FHIaims.out,C9H19N3O2,-Eql6X4nJTytHlwWOdbQNURBTaiw
AminoAcids/arg/Dipeptide/bare/conf_2007/FHIaims.out,C9H19N5O2,-F5shkCVfYhy_u4s255VDW8OktSG
AminoAcids/arg/Dipeptide/Ca/conf_0698/FHIaims.out,C9CaH19N5O2,-F6b6tL7dBcY7gCvmF3enGL2kVl9
AminoAcids/lysH/Dipeptide/bare/conf_0742/FHIaims.out,C9H20N3O2,-F9wL-8G-iWwoN_0qn6rR2pSahiY
AminoAcids/lysH/Dipeptide/Mg/conf_0510/FHIaims.out,C9H20MgN3O2,-FNknFHT4GVMgFqrwkS9hlS47Slm
AminoAcids/lys/Dipeptide/bare/conf_0734/FHIaims.out,C9H19N3O2,-FwKU9jKZHJ3_t3D8VW_sjdaoHNO
AminoAcids/arg/Dipeptide/bare/conf_3374/FHIaims.out,C9H19N5O2,-FzMGJ8Dkznnrq7v5rCWNQJce9Dc
AminoAcids/gln/Dipeptide/bare/conf_0186/FHIaims.out,C8H15N3O3,-G2nttlZSimQ_J_CjZZ3RodLrDEb
AminoAcids/arg/Dipeptide/Mg/conf_0100/FHIaims.out,C9H19MgN5O2,-GTCaQbUn9pzvrKdHJCTOISSLSqJ
AminoAcids/arg/Dipeptide/bare/conf_0541/FHIaims.out,C9H19N5O2,-GTRWT3zw0tCS0H6Q_5GtmGj8zVJ
AminoAcids/arg/Dipeptide/Ba/conf_0270/FHIaims.out,BaC9H19N5O2,-GbZD7LRgnLeiuOZ7npfcUWoKd5V
AminoAcids/arg/Dipeptide/bare/conf_3853/FHIaims.out,C9H19N5O2,-GfFuKkRTI_9uLKMkCpaZ85qBFOw
AminoAcids/arg/Dipeptide/bare/conf_3708/FHIaims.out,C9H19N5O2,-GtZ8M1FDBA4AAMJt7MKUDQo72R6
